KYWD,pred_freq_2026,2025_freq,Growth_rate
tax,147,101,45.5
legal,129,90,43.29
project,24,17,40.94
proof,14,10,39.6
r&amp;d,14,10,39.6
assessment,29,21,37.91
third,11,8,37.04
retirement,11,8,37.04
officer,11,8,37.04
making,15,11,36.04
care,42,31,35.37
control,69,51,35.23
gender,58,43,34.8
rights,270,201,34.31
test,20,15,33.11
peace,12,9,32.97
self-efficacy,64,49,30.55
climate change,39,30,29.9
ship,13,10,29.7
innovative behavior,27,21,28.44
2022 revised curriculum,18,14,28.37
eu,41,32,28.04
capital,28,22,27.15
esg,117,92,27.14
fundamental,14,11,27.03
indonesia,14,11,27.03
aging,14,11,27.03
transformational leadership,19,15,26.49
election,19,15,26.49
inequality,19,15,26.49
prohibition,19,15,26.49
benefit,24,19,26.18
anti,24,19,26.18
social capital,29,23,25.97
medical,29,23,25.97
shareholder,29,23,25.97
education,49,39,25.58
information,69,55,25.41
public,110,88,24.97
security,60,48,24.95
theory,50,40,24.94
collective,25,20,24.88
blockchain,20,16,24.84
academic achievement,15,12,24.79
ethics,15,12,24.79
maintenance,10,8,24.69
damage,10,8,24.69
norms,10,8,24.69
school adjustment,10,8,24.69
scope,10,8,24.69
agreement,51,41,24.33
machine learning,36,29,24.05
tourism,36,29,24.05
property,48,39,23.02
investigation,27,22,22.62
age,27,22,22.62
party,27,22,22.62
depression,65,53,22.6
social support,44,36,22.16
body,11,9,21.98
natural,11,9,21.98
oecd,11,9,21.98
fraud,11,9,21.98
developmental disabilities,11,9,21.98
firm value,11,9,21.98
population,11,9,21.98
export,11,9,21.98
empathy,11,9,21.98
housing,50,41,21.9
business,56,46,21.69
land,28,23,21.65
flow,17,14,21.28
recognition,17,14,21.28
article,58,48,20.79
organization,29,24,20.75
algorithm,18,15,19.87
e-commerce,12,10,19.8
limitation,12,10,19.8
treatment,12,10,19.8
north korea,43,36,19.39
wage,25,21,18.96
consumer,25,21,18.96
personal,38,32,18.69
authority,19,16,18.63
return,19,16,18.63
training,19,16,18.63
treaty,19,16,18.63
national,64,54,18.48
technology,52,44,18.14
turnover intention,39,33,18.13
chatgpt,26,22,18.1
korea,222,188,18.08
code,33,28,17.79
environment,53,45,17.74
work,40,34,17.6
dispute,20,17,17.54
organizational culture,20,17,17.54
equity,20,17,17.54
u,20,17,17.54
civil,55,47,16.99
development,42,36,16.62
social media,21,18,16.57
termination,14,12,16.53
technology acceptance model,14,12,16.53
governance,58,50,15.97
local government,29,25,15.94
transparency,22,19,15.71
foreign,30,26,15.33
subjective well-being,15,13,15.27
logistic regression,15,13,15.27
global,15,13,15.27
purchase intention,53,46,15.18
interpretation,23,20,14.93
platform,47,41,14.6
trust,55,48,14.55
employment,32,28,14.23
innovation,24,21,14.22
assembly,16,14,14.18
criminal,57,50,13.97
court,57,50,13.97
urban,25,22,13.57
local,42,37,13.48
trade,51,45,13.3
corporate,51,45,13.3
equality,17,15,13.25
disposition,17,15,13.25
worker,17,15,13.25
committee,17,15,13.25
climate,43,38,13.12
contract,69,61,13.09
domestic,26,23,12.99
workers,26,23,12.99
protection,123,109,12.83
rate,27,24,12.45
electronic,18,16,12.42
discrimination,18,16,12.42
gas,9,8,12.35
advertising,9,8,12.35
minimum,9,8,12.35
aggression,9,8,12.35
online review,9,8,12.35
city,9,8,12.35
science,9,8,12.35
council,9,8,12.35
legitimate,9,8,12.35
term,9,8,12.35
automated,9,8,12.35
constitutional,46,41,12.17
compensation,37,33,12.08
family,28,25,11.95
media,28,25,11.95
general,28,25,11.95
loneliness,19,17,11.7
regression,19,17,11.7
judgment,19,17,11.7
resources,19,17,11.7
sustainable development,19,17,11.7
duty,48,43,11.6
regulation,68,61,11.46
democracy,49,44,11.34
ott,20,18,11.05
women,20,18,11.05
over,10,9,10.99
corporate governance,10,9,10.99
future,10,9,10.99
lda,10,9,10.99
incentive,10,9,10.99
financial performance,10,9,10.99
history,10,9,10.99
debt,10,9,10.99
access,10,9,10.99
recht,10,9,10.99
claims,10,9,10.99
narrative,10,9,10.99
continued use intention,10,9,10.99
positive psychological capital,10,9,10.99
emotion,10,9,10.99
justice,41,37,10.78
qualitative research,42,38,10.5
network analysis,21,19,10.47
management,77,70,9.99
violence,33,30,9.97
with,22,20,9.95
subject,11,10,9.9
investor,11,10,9.9
firm performance,11,10,9.9
sales,11,10,9.9
integrated,11,10,9.9
reconstruction,11,10,9.9
related,11,10,9.9
dea,11,10,9.9
environmental education,11,10,9.9
perceived usefulness,11,10,9.9
integration,11,10,9.9
office,11,10,9.9
safety,34,31,9.65
convention,34,31,9.65
improvement,23,21,9.48
policy,71,65,9.22
doctrine,24,22,9.05
obligation,24,22,9.05
action,24,22,9.05
determinants,12,11,9.01
burden,12,11,9.01
concept,12,11,9.01
small,12,11,9.01
from,12,11,9.01
survey,12,11,9.01
digital competence,12,11,9.01
higher education,12,11,9.01
impact,12,11,9.01
ai literacy,12,11,9.01
bargaining,12,11,9.01
service,62,57,8.76
