KYWD,2021,2022,2023,2024,2025,2026
&lt;&gt;,0.0,5.0,1.0,0.0,0.0,5.0
- teacher-child interaction,5.0,4.0,6.0,2.0,0.0,0.0
2015 revised curriculum,7.0,3.0,0.0,0.0,0.0,0.0
2019 2019 revised nuri curriculum,10.0,12.0,9.0,5.0,3.0,0.0
2022 revised curriculum,0.0,6.0,9.0,18.0,16.0,18.0
2022 revised social studies curriculum,0.0,0.0,0.0,5.0,3.0,0.0
2023,0.0,7.0,6.0,2.0,0.0,0.0
2024,0.0,0.0,0.0,5.0,0.0,0.0
4&lt;sup&gt;th&lt;/sup&gt; industrial revolution,5.0,2.0,0.0,0.0,0.0,0.0
4th industrial revolution,31.0,22.0,15.0,13.0,10.0,10.0
abduction,5.0,0.0,0.0,0.0,0.0,0.0
ability,0.0,0.0,7.0,3.0,0.0,0.0
abolition,0.0,7.0,3.0,0.0,0.0,0.0
abortion,7.0,8.0,7.0,5.0,1.0,0.0
abs,0.0,0.0,0.0,6.0,1.0,0.0
absolute,0.0,5.0,1.0,0.0,0.0,0.0
absorptive capacity,0.0,7.0,3.0,0.0,0.0,5.0
abuse,25.0,28.0,23.0,21.0,16.0,14.0
abusive supervision,0.0,5.0,3.0,5.0,4.0,0.0
academic,5.0,1.0,0.0,0.0,0.0,0.0
academic achievement,15.0,7.0,9.0,19.0,14.0,15.0
academic self-efficacy,0.0,0.0,6.0,3.0,0.0,4.0
academic stress,6.0,3.0,7.0,4.0,0.0,5.0
accelerator,0.0,6.0,4.0,0.0,0.0,0.0
acceptability,5.0,1.0,0.0,0.0,0.0,0.0
acceptance,9.0,7.0,9.0,6.0,13.0,9.0
acceptance and commitment therapy,0.0,0.0,0.0,5.0,1.0,0.0
access,17.0,7.0,13.0,13.0,11.0,10.0
accessibility,7.0,7.0,10.0,15.0,7.0,8.0
accident,25.0,16.0,24.0,16.0,17.0,13.0
accidents,14.0,10.0,13.0,9.0,7.0,5.0
accomplice,0.0,0.0,5.0,2.0,0.0,0.0
account,10.0,9.0,8.0,3.0,0.0,0.0
accountability,10.0,11.0,13.0,5.0,12.0,8.0
accounting,6.0,8.0,3.0,6.0,4.0,0.0
accounting information,0.0,0.0,5.0,1.0,0.0,0.0
acculturation,0.0,5.0,5.0,2.0,0.0,0.0
acculturation stress,0.0,0.0,0.0,5.0,0.0,0.0
achievement standards,0.0,0.0,0.0,5.0,4.0,0.0
acquisition,14.0,20.0,28.0,25.0,13.0,10.0
action,32.0,30.0,40.0,31.0,26.0,24.0
action research,7.0,10.0,8.0,5.0,7.0,4.0
active,5.0,4.0,0.0,0.0,0.0,4.0
active aging,5.0,3.0,0.0,0.0,0.0,0.0
activities,20.0,13.0,25.0,31.0,13.0,13.0
actor-network theory,0.0,6.0,8.0,3.0,0.0,5.0
acts,13.0,6.0,8.0,11.0,6.0,7.0
actual,7.0,9.0,9.0,11.0,7.0,8.0
adaptation,0.0,6.0,6.0,5.0,4.0,0.0
adaptive performance,6.0,2.0,0.0,9.0,2.0,0.0
added,6.0,8.0,4.0,6.0,7.0,5.0
addiction,0.0,0.0,5.0,3.0,0.0,0.0
additional,8.0,3.0,10.0,2.0,0.0,0.0
adequacy,0.0,7.0,5.0,3.0,0.0,0.0
adhd,0.0,0.0,0.0,10.0,0.0,0.0
adjudication,12.0,12.0,10.0,6.0,11.0,7.0
adjustment,16.0,15.0,15.0,13.0,14.0,11.0
administration,22.0,22.0,22.0,22.0,21.0,19.0
administrative,45.0,59.0,69.0,54.0,59.0,53.0
administrative law,0.0,6.0,1.0,5.0,2.0,0.0
admissibility,5.0,7.0,4.0,0.0,0.0,5.0
adolescence,0.0,0.0,8.0,3.0,0.0,4.0
adolescents,34.0,31.0,19.0,23.0,33.0,27.0
adoption,0.0,0.0,0.0,11.0,4.0,0.0
adr,0.0,0.0,8.0,4.0,0.0,0.0
adult,6.0,4.0,7.0,6.0,3.0,0.0
adult learners,0.0,0.0,0.0,5.0,6.0,4.0
advance,0.0,0.0,6.0,0.0,0.0,3.0
adverse childhood experiences,0.0,0.0,0.0,6.0,3.0,0.0
advertising,7.0,12.0,10.0,14.0,9.0,9.0
aesthetics,0.0,0.0,5.0,3.0,0.0,0.0
affairs,9.0,8.0,4.0,5.0,6.0,4.0
affect,7.0,5.0,3.0,0.0,0.0,5.0
affective commitment,5.0,4.0,0.0,0.0,0.0,5.0
affective polarization,5.0,8.0,6.0,10.0,6.0,6.0
affirmative,0.0,6.0,4.0,0.0,0.0,0.0
affordance,0.0,0.0,5.0,1.0,0.0,0.0
afghanistan,5.0,4.0,0.0,0.0,0.0,0.0
africa,12.0,15.0,7.0,12.0,3.0,0.0
after,0.0,0.0,0.0,5.0,7.0,5.0
against,29.0,20.0,15.0,13.0,11.0,8.0
age,14.0,12.0,18.0,24.0,26.0,27.0
age group,0.0,0.0,6.0,4.0,0.0,0.0
aged,0.0,7.0,1.0,0.0,0.0,5.0
agency,29.0,21.0,30.0,22.0,34.0,27.0
agency problem,9.0,4.0,0.0,0.0,0.0,0.0
agency theory,0.0,6.0,2.0,0.0,0.0,0.0
agenda,0.0,0.0,0.0,8.0,4.0,0.0
agent,7.0,4.0,5.0,11.0,6.0,7.0
aggravated,5.0,1.0,0.0,0.0,0.0,0.0
aggression,0.0,9.0,2.0,13.0,9.0,9.0
aging,12.0,14.0,14.0,15.0,13.0,14.0
aging in place,0.0,0.0,0.0,5.0,4.0,0.0
aging society,0.0,6.0,7.0,5.0,4.0,0.0
agreement,50.0,42.0,39.0,48.0,47.0,51.0
agreements,8.0,9.0,7.0,9.0,8.0,8.0
agricultural,15.0,7.0,7.0,7.0,7.0,5.0
ahp,28.0,34.0,35.0,25.0,14.0,10.0
ahp analysis,0.0,0.0,5.0,4.0,0.0,3.0
ahpanalytic hierarchy process,5.0,2.0,5.0,4.0,0.0,0.0
ai chatbot,0.0,0.0,6.0,3.0,0.0,0.0
ai convergence education,0.0,0.0,7.0,12.0,7.0,9.0
ai education,0.0,6.0,6.0,15.0,6.0,9.0
ai ethics,0.0,0.0,9.0,15.0,8.0,9.0
ai literacy,0.0,0.0,6.0,13.0,11.0,12.0
ai regulation,0.0,0.0,0.0,5.0,0.0,0.0
ai-integrated education,0.0,0.0,0.0,5.0,3.0,0.0
aid,0.0,0.0,5.0,5.0,0.0,0.0
air,7.0,8.0,9.0,7.0,3.0,0.0
airbnb,5.0,3.0,0.0,0.0,0.0,0.0
aircraft,0.0,5.0,2.0,0.0,0.0,0.0
airline,13.0,6.0,9.0,4.0,0.0,5.0
airline cabin crew,15.0,6.0,7.0,4.0,0.0,0.0
ais,0.0,5.0,0.0,0.0,0.0,0.0
algorithm,10.0,5.0,18.0,15.0,18.0,18.0
algorithmic,0.0,0.0,0.0,6.0,5.0,4.0
algorithms,0.0,7.0,3.0,0.0,0.0,0.0
alienation,5.0,3.0,0.0,0.0,0.0,0.0
all,6.0,4.0,5.0,3.0,0.0,0.0
alliance,10.0,8.0,14.0,12.0,5.0,5.0
allocation,0.0,10.0,8.0,9.0,5.0,5.0
allowance,0.0,0.0,0.0,8.0,5.0,0.0
alternative,11.0,9.0,9.0,7.0,8.0,5.0
altruism,0.0,5.0,4.0,0.0,0.0,0.0
amendment,22.0,11.0,16.0,15.0,18.0,16.0
american,5.0,0.0,0.0,0.0,0.0,0.0
amount,8.0,3.0,7.0,11.0,4.0,0.0
amp,26.0,21.0,22.0,22.0,29.0,24.0
an,24.0,12.0,16.0,21.0,12.0,12.0
analogy,0.0,0.0,5.0,6.0,2.0,0.0
analytic,0.0,0.0,0.0,5.0,1.0,0.0
analytic hierarchy process,11.0,2.0,8.0,6.0,3.0,0.0
analytic hierarchy processahp,5.0,2.0,0.0,0.0,0.0,0.0
anger,6.0,7.0,2.0,0.0,0.0,0.0
animal,5.0,14.0,10.0,5.0,13.0,7.0
animals,0.0,0.0,5.0,3.0,0.0,3.0
animation,0.0,0.0,5.0,1.0,0.0,0.0
anonymity,0.0,0.0,5.0,1.0,0.0,0.0
anonymous,5.0,2.0,0.0,0.0,0.0,0.0
anthropocene,6.0,3.0,7.0,5.0,6.0,3.0
anthropomorphism,0.0,0.0,0.0,10.0,6.0,5.0
anti,24.0,21.0,17.0,26.0,24.0,24.0
antioxidant activity,0.0,5.0,3.0,6.0,4.0,0.0
