keyword,year,month,field_previous,field,count
&lt;&gt;,2022,3,사회과학 일반,교육학,1
&lt;&gt;,2022,4,교육학,사회과학 일반,1
&lt;&gt;,2022,6,사회과학 일반,사회학,1
&lt;&gt;,2022,9,사회학,사회과학 일반,1
&lt;&gt;,2023,8,사회과학 일반,사회학,1
&lt;&gt;,2025,3,사회학,사회과학 일반,1
&lt;&gt;,2025,6,사회과학 일반,경영학,1
&lt;&gt;,2025,9,경영학,사회과학 일반,1
&lt;&gt;,2025,9,사회과학 일반,사회학,1
&lt;&gt;,2025,10,사회학,사회과학 일반,1
- teacher-child interaction,2021,11,교육학,사회학,1
- teacher-child interaction,2021,12,사회학,교육학,1
- teacher-child interaction,2022,12,교육학,사회학,1
- teacher-child interaction,2023,3,교육학,사회학,1
- teacher-child interaction,2023,3,사회학,교육학,1
- teacher-child interaction,2023,9,사회학,교육학,1
- teacher-child interaction,2024,5,교육학,사회학,1
- teacher-child interaction,2025,2,사회학,교육학,1
2015 revised curriculum,2022,8,교육학,지리학,1
2015 revised curriculum,2022,9,지리학,교육학,1
2015 revised curriculum,2024,3,교육학,행정학,1
2015 revised curriculum,2024,4,행정학,교육학,1
2019 2019 revised nuri curriculum,2021,12,교육학,사회학,1
2019 2019 revised nuri curriculum,2022,2,사회학,교육학,1
2022 revised curriculum,2024,4,교육학,지리학,1
2022 revised curriculum,2024,4,지리학,교육학,1
2022 revised curriculum,2024,8,교육학,지리학,1
2022 revised curriculum,2024,8,지리학,교육학,1
2023,2022,5,행정학,사회학,1
2023,2022,6,사회학,행정학,1
2023,2022,11,행정학,사회과학 일반,1
2023,2022,12,사회과학 일반,정치외교학,1
2023,2023,6,정치외교학,지리학,1
2023,2023,7,지리학,정치외교학,1
2023,2023,12,정치외교학,지리학,1
2023,2024,5,지리학,사회과학 일반,1
2023,2024,6,사회과학 일반,지리학,1
4th industrial revolution,2021,1,경영학,사회학,1
4th industrial revolution,2021,2,사회과학 일반,정치외교학,1
4th industrial revolution,2021,2,사회학,사회과학 일반,1
4th industrial revolution,2021,2,정치외교학,무역학,1
4th industrial revolution,2021,3,무역학,행정학,1
4th industrial revolution,2021,4,무역학,사회학,1
4th industrial revolution,2021,4,행정학,무역학,1
4th industrial revolution,2021,5,사회학,행정학,1
4th industrial revolution,2021,6,경영학,지리학,1
4th industrial revolution,2021,6,지리학,교육학,1
4th industrial revolution,2021,6,행정학,경영학,1
4th industrial revolution,2021,8,경영학,무역학,1
4th industrial revolution,2021,8,교육학,경영학,1
4th industrial revolution,2021,9,경영학,지리학,1
4th industrial revolution,2021,9,무역학,경영학,1
4th industrial revolution,2021,9,지리학,행정학,1
4th industrial revolution,2021,9,행정학,교육학,1
4th industrial revolution,2021,10,관광학,무역학,1
4th industrial revolution,2021,10,교육학,관광학,1
4th industrial revolution,2021,10,무역학,교육학,1
4th industrial revolution,2021,11,교육학,신문방송학,1
4th industrial revolution,2021,11,신문방송학,교육학,1
4th industrial revolution,2021,12,경영학,군사학,1
4th industrial revolution,2021,12,교육학,경영학,1
4th industrial revolution,2022,2,군사학,지리학,1
4th industrial revolution,2022,3,경영학,무역학,1
4th industrial revolution,2022,3,교육학,행정학,1
4th industrial revolution,2022,3,무역학,문헌정보학,1
4th industrial revolution,2022,3,문헌정보학,교육학,1
4th industrial revolution,2022,3,지리학,경영학,1
4th industrial revolution,2022,4,경영학,교육학,1
4th industrial revolution,2022,4,사회과학 일반,경영학,1
4th industrial revolution,2022,4,행정학,사회과학 일반,1
4th industrial revolution,2022,6,경영학,행정학,1
4th industrial revolution,2022,6,교육학,경영학,1
4th industrial revolution,2022,8,경영학,지리학,1
4th industrial revolution,2022,8,지리학,사회학,1
4th industrial revolution,2022,8,행정학,경영학,1
4th industrial revolution,2022,9,사회학,무역학,1
4th industrial revolution,2022,12,교육학,행정학,1
4th industrial revolution,2022,12,무역학,정치외교학,1
4th industrial revolution,2022,12,사회학,교육학,1
4th industrial revolution,2022,12,정치외교학,사회학,1
4th industrial revolution,2023,2,행정학,무역학,1
4th industrial revolution,2023,3,무역학,경영학,1
4th industrial revolution,2023,5,경영학,교육학,1
4th industrial revolution,2023,6,경영학,지리학,1
4th industrial revolution,2023,6,교육학,경영학,1
4th industrial revolution,2023,6,신문방송학,교육학,1
4th industrial revolution,2023,6,지리학,신문방송학,1
4th industrial revolution,2023,8,경영학,교육학,1
4th industrial revolution,2023,8,교육학,경영학,1
4th industrial revolution,2023,10,경영학,무역학,1
4th industrial revolution,2023,10,교육학,경영학,1
4th industrial revolution,2023,12,무역학,교육학,1
4th industrial revolution,2024,2,교육학,경영학,1
4th industrial revolution,2024,3,경영학,무역학,1
4th industrial revolution,2024,3,무역학,행정학,1
4th industrial revolution,2024,3,행정학,사회학,1
4th industrial revolution,2024,6,경영학,지리학,1
4th industrial revolution,2024,6,사회학,경영학,1
4th industrial revolution,2024,8,지리학,정치외교학,1
4th industrial revolution,2024,9,정치외교학,행정학,1
4th industrial revolution,2024,12,지리학,행정학,1
4th industrial revolution,2024,12,행정학,지리학,1
4th industrial revolution,2025,2,행정학,무역학,1
4th industrial revolution,2025,3,교육학,행정학,1
4th industrial revolution,2025,3,무역학,문헌정보학,1
4th industrial revolution,2025,3,문헌정보학,교육학,1
4th industrial revolution,2025,4,행정학,경영학,1
4th industrial revolution,2025,5,경영학,지리학,1
4th industrial revolution,2025,6,지리학,무역학,1
4th industrial revolution,2025,7,무역학,교육학,1
abandonment,2021,8,법학,정치외교학,1
abandonment,2021,8,정치외교학,법학,1
abandonment,2022,12,법학,정치외교학,1
abandonment,2023,3,정치외교학,법학,1
abandonment,2023,12,법학,사회과학 일반,1
abandonment,2023,12,사회과학 일반,법학,1
ability,2021,9,법학,군사학,1
ability,2022,3,군사학,경영학,1
ability,2022,8,경영학,경제학,1
ability,2023,2,경제학,법학,1
ability,2023,6,경제학,법학,1
ability,2023,6,법학,경제학,1
ability,2023,9,법학,교육학,1
ability,2024,3,교육학,경영학,1
ability,2024,10,경영학,군사학,1
ability,2024,12,군사학,법학,1
ability,2025,10,경제학,법학,1
ability,2025,10,법학,경제학,1
abnormal,2021,3,경제학,법학,1
abnormal,2021,6,법학,경제학,1
abnormal,2022,6,경제학,군사학,1
abnormal,2023,4,군사학,경제학,1
abnormal,2025,5,경제학,법학,1
abnormal,2025,7,법학,경제학,1
abnormal,2025,8,경제학,법학,1
abolition,2021,10,법학,군사학,1
abolition,2022,3,군사학,신문방송학,1
abolition,2022,4,신문방송학,법학,1
abolition,2022,9,법학,신문방송학,1
abolition,2023,5,신문방송학,사회학,1
abolition,2023,9,사회학,법학,1
abortion,2021,2,정치외교학,교육학,1
abortion,2021,4,교육학,사회학,1
abortion,2021,12,사회학,법학,1
